serial,age,amount,credit_history,credit_risk,duration,employment_duration,foreign_worker,housing,installment_rate,job,number_credits,other_debtors,other_installment_plans,people_liable,personal_status_sex,present_residence,property,purpose,savings,status,telephone,
910,53.0,7119.0,0.0,0.0,48.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,
333,24.0,1554.0,4.0,1.0,6.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,
123,30.0,2063.0,2.0,1.0,6.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,
284,47.0,2353.0,3.0,1.0,21.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,0.0,1.0,2.0,1.0,
539,46.0,730.0,4.0,1.0,7.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,4.0,2.0,
822,29.0,6887.0,3.0,0.0,36.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,6.0,1.0,1.0,2.0,
998,30.0,12680.0,4.0,0.0,21.0,5.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,0.0,5.0,4.0,2.0,
637,60.0,2246.0,4.0,0.0,12.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,
111,29.0,3959.0,2.0,0.0,15.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,
6,48.0,2241.0,4.0,1.0,10.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,
702,34.0,5800.0,4.0,1.0,36.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,
132,43.0,2515.0,2.0,1.0,18.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,
477,47.0,3422.0,2.0,1.0,18.0,5.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,
724,31.0,8947.0,3.0,1.0,36.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,4.0,2.0,
136,33.0,1543.0,2.0,1.0,6.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,
687,31.0,1521.0,2.0,1.0,10.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,
424,52.0,2133.0,2.0,1.0,12.0,5.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,0.0,5.0,4.0,2.0,
511,24.0,2080.0,4.0,1.0,6.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,0.0,3.0,4.0,1.0,
417,57.0,1154.0,4.0,1.0,11.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,
835,32.0,4611.0,2.0,0.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,
525,34.0,1860.0,4.0,1.0,12.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,
415,42.0,522.0,4.0,1.0,12.0,5.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,
644,58.0,6143.0,4.0,0.0,48.0,5.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,
404,26.0,3181.0,2.0,1.0,24.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,
629,36.0,1238.0,2.0,1.0,6.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,8.0,5.0,4.0,2.0,
263,23.0,1275.0,2.0,1.0,10.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,
587,36.0,5302.0,4.0,1.0,18.0,5.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,4.0,0.0,1.0,1.0,2.0,
182,30.0,1055.0,4.0,1.0,18.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,1.0,
4,39.0,2122.0,4.0,1.0,12.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,
283,20.0,4675.0,2.0,1.0,12.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,5.0,4.0,1.0,
795,66.0,1908.0,3.0,0.0,30.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,9.0,1.0,3.0,2.0,
503,51.0,1595.0,2.0,1.0,6.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,
746,21.0,1766.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,
887,27.0,3123.0,2.0,0.0,24.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,
459,29.0,2333.0,3.0,1.0,24.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,1.0,
741,31.0,1736.0,2.0,1.0,12.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,
588,37.0,3620.0,2.0,1.0,36.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,
819,24.0,1237.0,2.0,0.0,8.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,
842,31.0,1928.0,4.0,0.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,
978,68.0,14896.0,2.0,0.0,6.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,1.0,1.0,2.0,
418,27.0,5804.0,4.0,1.0,24.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,
304,33.0,3074.0,4.0,1.0,9.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,4.0,1.0,
5,38.0,2171.0,4.0,1.0,12.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0,
101,40.0,3777.0,4.0,1.0,24.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,4.0,2.0,
146,46.0,2476.0,2.0,1.0,21.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,5.0,4.0,2.0,
158,38.0,5954.0,4.0,1.0,30.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,
529,32.0,1505.0,2.0,1.0,18.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,
897,41.0,2580.0,3.0,0.0,21.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,9.0,3.0,4.0,1.0,
177,27.0,4139.0,4.0,1.0,24.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,9.0,2.0,4.0,2.0,
94,59.0,1364.0,2.0,1.0,9.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,
148,49.0,1262.0,2.0,1.0,12.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,5.0,1.0,2.0,
977,32.0,18424.0,0.0,0.0,48.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,
849,50.0,2671.0,2.0,0.0,36.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,
37,38.0,1495.0,4.0,1.0,12.0,5.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,1.0,
996,21.0,1987.0,2.0,0.0,24.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,
401,32.0,2528.0,2.0,1.0,27.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,
471,47.0,1984.0,2.0,1.0,18.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0,
126,47.0,5103.0,4.0,1.0,24.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,2.0,
976,34.0,11998.0,2.0,0.0,30.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,
345,51.0,682.0,4.0,1.0,12.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,2.0,4.0,2.0,
181,23.0,1236.0,2.0,1.0,9.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,
890,29.0,9034.0,2.0,0.0,36.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,
495,54.0,1409.0,4.0,1.0,12.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,
232,39.0,426.0,0.0,1.0,6.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,
806,24.0,1207.0,2.0,0.0,24.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,
66,27.0,1237.0,4.0,1.0,6.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,
294,31.0,1449.0,3.0,1.0,6.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,9.0,2.0,2.0,1.0,
83,30.0,5866.0,2.0,1.0,18.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,
658,64.0,753.0,2.0,1.0,6.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,
707,20.0,3617.0,4.0,1.0,24.0,5.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,1.0,
320,35.0,1204.0,0.0,1.0,6.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,0.0,2.0,4.0,1.0,
403,23.0,1352.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,
594,29.0,1193.0,1.0,0.0,24.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,
803,25.0,1371.0,2.0,0.0,24.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,0.0,5.0,1.0,1.0,
134,26.0,1453.0,2.0,1.0,18.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,
839,39.0,6458.0,1.0,0.0,18.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,4.0,2.0,
266,40.0,2675.0,2.0,1.0,22.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,
222,49.0,3656.0,4.0,1.0,30.0,5.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,5.0,3.0,1.0,
188,31.0,3430.0,2.0,1.0,24.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,
224,27.0,8613.0,3.0,1.0,27.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,
815,74.0,5129.0,1.0,0.0,9.0,5.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,
114,26.0,763.0,2.0,1.0,12.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,
692,27.0,1168.0,2.0,1.0,12.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,
708,36.0,2181.0,4.0,1.0,30.0,5.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,0.0,5.0,2.0,1.0,
699,27.0,4576.0,4.0,1.0,45.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,
387,30.0,918.0,2.0,0.0,9.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,
280,49.0,1126.0,2.0,1.0,9.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,
229,36.0,1572.0,2.0,1.0,21.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,9.0,4.0,4.0,1.0,
186,31.0,5742.0,2.0,1.0,36.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,9.0,2.0,4.0,2.0,
855,43.0,1533.0,2.0,0.0,18.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,1.0,
870,25.0,1355.0,2.0,0.0,24.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,2.0,
243,24.0,1568.0,2.0,1.0,18.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,9.0,2.0,4.0,1.0,
816,22.0,1808.0,3.0,0.0,18.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,
659,35.0,2576.0,2.0,1.0,7.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,
508,46.0,6842.0,4.0,1.0,24.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,5.0,4.0,2.0,
466,55.0,1424.0,2.0,1.0,12.0,5.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0,3.0,2.0,
524,21.0,1126.0,2.0,1.0,18.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,4.0,2.0,
879,22.0,1366.0,2.0,0.0,9.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,
91,27.0,1995.0,4.0,1.0,12.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0,
670,34.0,2415.0,2.0,1.0,7.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,
682,40.0,1155.0,2.0,1.0,12.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,
559,26.0,5433.0,2.0,1.0,24.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,4.0,2.0,
614,46.0,1845.0,2.0,1.0,15.0,2.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,
522,26.0,10974.0,2.0,0.0,36.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,
742,61.0,3059.0,2.0,1.0,12.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,
711,62.0,3757.0,2.0,1.0,24.0,5.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,4.0,2.0,
577,42.0,3446.0,2.0,0.0,36.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,
18,25.0,3213.0,2.0,1.0,18.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,
385,36.0,4041.0,4.0,1.0,42.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,2.0,
221,36.0,1940.0,1.0,1.0,18.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,
204,30.0,7721.0,2.0,1.0,24.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,
521,28.0,3349.0,2.0,0.0,36.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,
869,27.0,951.0,2.0,0.0,12.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,
748,44.0,5507.0,4.0,1.0,24.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,5.0,1.0,4.0,1.0,
625,75.0,6615.0,4.0,1.0,24.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,
260,74.0,3448.0,2.0,1.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,9.0,1.0,4.0,1.0,
689,45.0,3049.0,2.0,1.0,18.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,
911,53.0,4870.0,3.0,0.0,24.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,0.0,1.0,1.0,1.0,
768,32.0,1530.0,4.0,0.0,18.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,4.0,1.0,
430,33.0,3195.0,2.0,1.0,9.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,1.0,
1000,31.0,6350.0,2.0,0.0,30.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,
490,45.0,3527.0,2.0,1.0,12.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,5.0,4.0,2.0,
150,48.0,1743.0,4.0,1.0,24.0,5.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,
611,23.0,836.0,2.0,0.0,12.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,
905,26.0,3114.0,0.0,0.0,18.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,
234,40.0,3857.0,2.0,1.0,30.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,
513,37.0,3878.0,4.0,1.0,24.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,
862,24.0,4308.0,2.0,0.0,48.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,9.0,1.0,1.0,1.0,
169,24.0,2788.0,4.0,1.0,15.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,
592,51.0,1164.0,4.0,1.0,8.0,5.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,10.0,1.0,1.0,2.0,
896,38.0,12976.0,2.0,0.0,18.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,
648,32.0,7238.0,3.0,1.0,48.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,1.0,
609,26.0,4788.0,2.0,1.0,48.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,
80,35.0,1979.0,2.0,1.0,15.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,
235,25.0,685.0,2.0,0.0,12.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,1.0,2.0,1.0,
846,23.0,2520.0,4.0,0.0,27.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,
596,28.0,5371.0,4.0,1.0,36.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,
715,26.0,3518.0,2.0,1.0,6.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,1.0,
469,24.0,2323.0,2.0,1.0,36.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,
314,26.0,1201.0,2.0,1.0,24.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,
411,64.0,1409.0,2.0,1.0,13.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,
